Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
ND,0.1668,ND,ND,ND,ND
0.5375,0.1018,0.3351,0.1823,ND,ND
0.1833,0.0026,0.1658,0.0403,-0.0136,0.0833
-0.0827,0.5082,-0.0657,ND,ND,ND
-0.3103,0.652,-0.3507,ND,ND,ND
-0.4976,0.4176,ND,ND,ND,ND
0.0648,0.2372,-0.0158,ND,ND,ND
ND,ND,ND,0.2413,ND,ND
0.1329,0.4206,0.0362,ND,ND,ND
0.2438,0.5705,-0.5065,ND,ND,ND
-0.0009,0.0981,ND,ND,ND,ND
-0.0799,0.1012,-0.0794,ND,ND,ND
-0.4635,0.7577,-0.34,ND,ND,ND
0.1034,0.1804,-0.0876,ND,ND,ND
0.1003,0.0527,0.0048,ND,ND,ND
-0.0116,0.1145,-0.0329,ND,ND,ND
ND,ND,ND,0.0935,ND,ND
0.2424,0.0893,0.1832,-0.0015,0.0582,0.0412
0.1645,0.0098,-0.0701,ND,ND,ND
-0.0427,0.143,-0.0777,ND,ND,ND
ND,0.0228,ND,ND,ND,ND
ND,ND,ND,0.4258,0.0122,0.2367
0.2281,ND,0.0746,0.0671,0.1341,0.0583
ND,ND,ND,-0.0575,ND,-0.0431
ND,ND,ND,0.0125,-0.029,0.0601
0.2578,-0.0801,0.1073,0.2869,0.037,ND
ND,ND,ND,0.2198,ND,0.1855
0.1147,ND,ND,-0.0572,0.1875,-0.0749
ND,ND,ND,-0.1527,0.0641,ND
0.2402,-0.0805,0.1385,0.0896,0.0297,0.1247
ND,ND,ND,ND,0.3308,0.2634
ND,ND,ND,0.0332,ND,0.0562
ND,-0.1134,ND,-0.0176,0.2311,0.1835
0.2757,ND,0.0065,0.1748,0.2407,0.2144
0.0735,0.2072,-0.1912,ND,ND,ND
ND,ND,ND,0.098,0.0836,0.1038
0.0687,ND,0.0705,ND,0.1252,ND
-0.1739,0.1961,-0.1614,ND,ND,ND
0.2065,-0.0432,0.1754,0.1261,0.0552,0.1213
0.2974,0.0119,0.2013,0.0899,0.1451,0.1512
0.0488,0.2191,-0.3946,ND,ND,ND
-0.0379,0.2138,-0.0491,ND,ND,ND
0.1589,0.0047,0.1263,0.1057,-0.0115,0.1635
ND,ND,ND,ND,ND,0.2187
0.1404,0.2203,-0.0181,-0.108,0.1519,-0.0852
0.2065,0.1242,0.1817,ND,ND,0.2429
ND,0.2046,-0.0239,ND,ND,ND
0.1195,0.0256,0.076,ND,0.124,ND
ND,0.0265,ND,ND,ND,ND
-0.1597,0.1777,-0.0457,ND,ND,ND
0.0434,-0.0225,0.0007,0.0745,ND,-0.0377
ND,ND,0.8134,ND,ND,ND
ND,ND,ND,ND,0.1606,0.1308
0.2539,0.1578,0.1647,0.1456,0.091,ND
0.1254,0.1621,0.1059,ND,ND,0.0147
-0.0244,0.1728,-0.0927,ND,ND,ND
0.154,0.0662,0.135,0.1229,0.5458,-0.3052
0.2402,0.2015,0.0652,ND,ND,ND
0.2926,ND,0.0465,ND,ND,ND
ND,-0.0881,0.0969,ND,0.034,ND
0.2267,ND,ND,ND,ND,ND
ND,ND,ND,ND,-0.1425,ND
0.3129,ND,ND,ND,ND,ND
ND,0.3902,-0.0095,ND,ND,ND
0.0922,0.1717,0.0363,ND,ND,ND
0.0461,0.3359,-0.1388,ND,0.2032,ND
-0.2029,0.0794,-0.1204,ND,ND,ND
ND,ND,ND,0.6118,0.4161,ND
ND,0.1887,-0.076,ND,ND,ND
ND,ND,ND,-0.4957,0.4201,ND
ND,0.1207,ND,0.211,0.9739,ND
0.1462,0.1049,0.1615,0.1175,0.0358,0.217
0.1242,-0.0291,0.1487,ND,ND,0.0695
0.2987,ND,ND,0.0727,ND,ND
0.2616,0.0102,0.0912,ND,ND,ND
ND,ND,ND,ND,ND,ND
ND,ND,ND,0.0712,0.1614,0.1294
0.1842,0.01,0.1788,0.0758,0.0729,0.1115
ND,ND,ND,0.0094,0.3082,-0.1428
0.6505,ND,ND,ND,0.0248,ND
0.1137,-0.2179,0.1467,0.0887,0.0466,0.1007
-0.2476,ND,-0.2749,ND,ND,ND
0.0759,0.0759,-0.0237,0.0384,0.1095,-0.0458
ND,ND,ND,ND,0.0096,0.1839
ND,ND,ND,-0.5394,0.0182,0.1195
ND,ND,0.184,ND,ND,ND
0.1452,0.1137,-0.0274,0.1307,0.1238,0.0363
ND,ND,-0.1357,0.1043,-0.1314,0.282
ND,ND,ND,0.1607,ND,ND
ND,ND,ND,-0.147,0.1764,-0.2858
0.024,0.1328,-0.0762,ND,ND,ND
0.2777,ND,ND,0.0807,-0.0249,ND
0.2886,0.0571,0.2142,0.0947,0.1186,0.1539
-0.0453,ND,ND,-0.0321,ND,ND
ND,ND,ND,ND,ND,-0.2597
-0.1522,0.1623,-0.1208,ND,ND,ND
0.0975,0.2314,-0.1678,-0.0961,ND,-0.3113
ND,ND,-0.1492,ND,ND,ND
-0.1232,0.2099,-0.2652,-0.1867,0.1511,-0.5016
-0.1283,0.1409,-0.2442,-0.3015,0.0482,-0.3738
0.3572,0.4448,0.043,ND,ND,ND
ND,ND,ND,ND,-0.3014,0.2326
-0.0559,0.0355,ND,0.0783,-0.0319,-0.0699
0.2498,ND,0.2658,ND,ND,ND
ND,ND,ND,0.0675,ND,ND
-0.0422,ND,ND,ND,ND,ND
ND,ND,0.9292,ND,ND,ND
ND,-0.2078,ND,ND,ND,0.1902
0.2302,0.0834,0.13,0.151,-0.117,0.1644
ND,ND,ND,0.0841,0.1576,ND
ND,ND,ND,0.0434,0.107,ND
1.0223,0.1881,ND,ND,ND,ND
ND,ND,ND,0.0886,ND,0.1993
ND,ND,ND,ND,ND,0.2533
ND,ND,ND,0.1396,ND,0.3178
0.2346,0.0597,0.3092,ND,ND,0.1594
ND,ND,ND,0.0855,0.1078,ND
ND,0.0269,0.3663,ND,0.1281,0.1193
ND,-0.0265,0.2797,ND,ND,ND
0.2696,-0.0756,0.3498,ND,ND,0.0672
ND,-0.0855,ND,ND,ND,0.0522
0.2531,-0.0018,0.3009,0.182,ND,0.2083
0.4008,ND,0.5409,0.1587,ND,0.2278
ND,0.467,ND,ND,ND,ND
ND,ND,ND,ND,-0.0159,0.2536
ND,0.011,0.4238,0.0871,ND,0.1286
ND,ND,ND,ND,-0.2394,0.4423
0.1782,0.0484,0.1113,0.0495,0.1243,ND
0.4218,-0.0417,0.2997,0.1797,-0.0224,0.2537
ND,ND,ND,ND,-0.0185,0.3767
ND,0.12,ND,ND,ND,ND
ND,ND,ND,ND,ND,0.2452
ND,ND,ND,0.4322,-0.0529,ND
0.4582,0.0536,ND,0.2543,0.0681,0.2571
0.15,-0.087,0.2667,0.0105,0.0371,0.1766
0.0131,0.0291,0.9321,ND,ND,ND
ND,ND,ND,0.3667,0.1034,ND
-0.0556,ND,0.42,ND,ND,ND
ND,ND,ND,ND,ND,0.1859
ND,ND,ND,0.177,ND,0.1973
ND,ND,ND,0.1363,ND,-0.0608
ND,ND,ND,-0.2557,0.1907,0.0569
-4.3646,0.1584,0.2013,ND,0.0443,-0.0602
0.2374,0.0437,0.084,0.2796,0.0436,0.1245
ND,0.0572,-0.1411,ND,ND,ND
ND,ND,ND,0.1976,ND,ND
ND,ND,0.1829,0.0686,-0.0504,ND
ND,ND,ND,ND,ND,0.1168
ND,-0.2734,ND,0.167,ND,0.317
0.2135,0.0992,ND,-0.1024,0.1432,ND
0.6282,-0.0668,0.1561,0.1641,0.2577,0.1306
0.2712,-0.3713,0.1461,0.2323,0.0557,0.2071
ND,ND,ND,ND,ND,-0.1109
ND,ND,ND,ND,-0.154,ND
ND,ND,ND,ND,0.0607,ND
0.2889,-0.0564,0.1433,0.1162,0.0981,0.1521
ND,ND,ND,0.1274,0.2057,ND
ND,ND,ND,0.0301,ND,-0.0067
0.1221,0.0233,ND,0.0831,0.1526,0.0912
ND,ND,ND,ND,ND,0.1112
ND,-0.024,0.185,0.1414,0.1293,0.1457
0.3838,-0.1004,0.2823,0.224,ND,0.2864
ND,ND,ND,ND,ND,0.1329
0.2432,ND,ND,0.1414,0.0412,0.1067
ND,ND,0.4552,ND,ND,ND
ND,-0.0007,-0.0545,ND,ND,ND
0.0925,-0.1818,0.477,ND,ND,ND
0.2616,0.1694,0.133,0.0687,0.257,0.1237
-0.2011,0.0753,0.0625,0.1403,0.2771,0.1314
0.2,ND,ND,0.3192,0.0593,ND
0.2059,-0.142,0.21,ND,ND,ND
ND,ND,ND,0.0101,0.0646,0.0848
ND,ND,ND,0.1009,0.3617,ND
ND,ND,ND,-0.0078,ND,ND
ND,ND,ND,0.0578,0.3346,ND
ND,ND,ND,ND,ND,0.0735
ND,ND,ND,-0.1096,ND,0.1324
0.2699,-0.1761,0.1837,ND,0.1565,0.1133
ND,-0.1557,0.1639,ND,0.2284,0.1297
0.2448,-0.0434,0.2618,0.1223,0.0587,ND
ND,ND,0.2244,0.1738,0.032,0.2454
-0.2715,-0.1859,0.5322,-1.0055,-0.5157,-0.2084
ND,-0.0471,0.0256,ND,-0.2473,-0.2718
-0.0058,-0.0171,ND,-0.0851,ND,-0.0082
ND,0.0126,-0.0412,ND,ND,ND
ND,ND,ND,0.2044,ND,-0.0254
0.0866,0.2032,-0.0309,ND,ND,ND
0.088,-0.246,0.0288,-0.1409,ND,-0.0761
0.0706,0.1169,-0.1052,-0.0786,ND,-0.3629
0.0874,0.0753,-0.0761,0.0341,0.1749,-0.0448
ND,ND,0.2746,ND,ND,ND
-0.2294,0.1556,-0.2572,ND,ND,ND
-0.1197,-0.1335,ND,ND,ND,ND
-0.0595,0.289,ND,-0.3798,0.1319,-0.2143
ND,0.143,0.0926,ND,ND,ND
-0.0203,-0.1311,-0.1243,ND,ND,ND
ND,ND,ND,ND,ND,-0.0579
ND,ND,ND,0.0205,0.1686,0.1016
ND,ND,ND,0.1551,0.0517,ND
ND,ND,ND,0.0985,0.0744,0.117
ND,ND,ND,0.1094,ND,0.0396
ND,ND,ND,0.1084,0.2357,0.0573
ND,ND,ND,0.2743,ND,ND
ND,ND,ND,0.0938,0.0979,ND
ND,ND,ND,ND,0.2554,ND
ND,-0.1229,0.3108,0.3515,ND,ND
ND,ND,ND,ND,0.2204,0.0054
ND,ND,ND,0.0529,0.0376,ND
ND,0.1015,0.088,ND,ND,ND
ND,ND,ND,-0.0539,0.2506,0.0223
ND,0.3014,ND,ND,ND,ND
0.1646,0.044,-0.0018,ND,ND,ND
0.2504,ND,0.1474,-0.0586,0.1217,-0.0465
ND,ND,ND,ND,ND,0.0315
0.2558,-0.8593,ND,ND,-0.0055,0.6267
-0.1407,0.3407,-0.3768,-0.2332,ND,ND
0.2908,0.133,-0.0772,ND,-0.0311,ND
ND,0.0922,ND,0.0482,-0.9866,1.3408
0.3666,0.0431,0.2946,0.307,ND,ND
0.6214,ND,0.5514,ND,-0.0046,0.1173
ND,ND,ND,-0.1438,ND,-0.0482
ND,ND,ND,0.0172,-0.1488,ND
ND,ND,ND,-0.069,0.1772,ND
0.1416,0.4327,0.1166,0.0543,-0.0817,0.2715
0.3632,0.5242,0.0594,-0.3531,ND,ND
ND,ND,0.1585,0.026,0.014,0.1256
0.0957,-0.0515,0.1285,ND,0.13,0.145
-0.2983,ND,-0.5652,ND,-0.1413,ND
-0.1312,-0.2709,ND,ND,ND,ND
-0.4108,ND,-0.3648,ND,ND,ND
-0.6325,1.9489,-1.2516,ND,ND,ND
ND,ND,ND,0.0838,ND,ND
0.137,0.1721,0.2958,ND,0.3811,ND
0.0737,1.4804,-0.2715,ND,ND,ND
0.008,0.4297,-0.1255,ND,ND,ND
0.051,ND,ND,ND,ND,ND
ND,ND,0.1285,ND,ND,ND
ND,ND,ND,-0.0356,-0.0616,-0.1418
-0.0122,-0.0031,-0.0638,ND,ND,ND
0.2447,0.2001,0.1047,-0.0744,0.1336,-0.0438
ND,ND,ND,0.1688,ND,0.3051
ND,ND,ND,ND,-0.0067,0.0591
0.3505,0.2534,-0.2395,ND,ND,ND
-0.0314,0.2656,-0.1515,ND,ND,ND
0.2107,-0.2635,0.1015,ND,ND,0.1118
ND,ND,ND,-0.1823,0.1482,0.0091
ND,ND,ND,ND,ND,-0.0486
ND,ND,ND,0.002,ND,-0.0511
-0.0752,0.5703,-0.1633,ND,ND,ND
0.2124,0.5816,-0.0689,ND,ND,ND
ND,ND,ND,-0.2079,0.2072,ND
ND,ND,-0.1052,-0.0833,ND,ND
ND,ND,ND,ND,ND,-0.0133
-0.1499,-3.116,-0.1192,ND,ND,ND
ND,0.0865,0.1929,ND,0.0063,-0.0061
ND,ND,ND,ND,-0.389,ND
-0.0215,ND,0.4779,ND,ND,ND
0.2752,0.1578,0.1467,0.0353,0.1877,0.084
0.5153,ND,ND,ND,0.0425,0.2294
0.6672,1.1216,ND,ND,ND,ND
-0.0136,0.4282,-0.2963,-2.9425,0.3077,ND
-0.0093,0.4429,-0.757,ND,ND,ND
0.1098,ND,0.0753,ND,ND,ND
0.1659,0.165,ND,0.1033,0.1212,0.0771
0.1903,0.5525,0.2178,0.1215,0.054,0.2092
0.1593,-0.0473,ND,0.1248,0.0117,0.2377
ND,ND,ND,0.13,-0.0316,0.2912
ND,ND,ND,ND,0.035,0.3013
ND,ND,ND,ND,0.3626,ND
0.1168,ND,ND,-0.0691,ND,ND
-0.0368,0.0288,0.0848,0.2803,0.1089,0.0923
ND,0.0642,ND,ND,ND,ND
ND,ND,ND,ND,ND,0.1549
ND,ND,ND,ND,ND,-0.358
ND,ND,ND,0.4573,ND,0.2488
ND,ND,-1.6709,ND,ND,ND
0.5097,-0.1862,ND,ND,ND,ND
0.1101,0.0176,0.0654,ND,ND,ND
-0.1636,1.2514,ND,ND,ND,ND
0.2363,-0.0111,ND,ND,ND,ND
0.2626,ND,0.1021,ND,ND,ND
0.1328,0.18,0.0749,-0.0158,ND,ND
0.1888,ND,ND,ND,ND,ND
0.1782,0.3981,-0.0289,ND,ND,ND
-0.1917,ND,ND,-0.2056,0.0904,0.0179
-0.3201,ND,-0.0517,ND,ND,ND
-0.2607,ND,ND,ND,ND,ND
-0.1023,-0.0381,0.0866,-0.1607,ND,ND
ND,ND,-0.081,ND,ND,ND
ND,ND,ND,ND,ND,-0.2499
ND,-0.1275,0.0637,ND,0.006,0.0453
0.0808,0.4218,-0.0383,ND,ND,ND
0.024,-0.0407,0.0011,ND,ND,ND
0.4347,ND,ND,ND,ND,ND
0.2105,-0.002,0.2744,0.0995,0.126,0.0962
ND,ND,ND,0.4514,ND,0.1125
ND,ND,ND,-0.0985,0.0215,0.0111
ND,ND,ND,-0.0721,ND,-0.0592
ND,0.0987,0.2158,ND,0.103,0.0461
ND,ND,ND,0.0703,0.2299,-0.1052
0.1245,0.0254,0.0249,-0.0998,-0.0715,0.1839
0.0547,ND,ND,ND,ND,ND
-0.2088,ND,ND,ND,ND,ND
ND,-0.0847,0.1342,ND,ND,0.1147
ND,-0.0677,0.248,0.1332,0.0365,0.137
ND,ND,ND,0.1956,-0.1194,ND
ND,ND,ND,0.4954,ND,0.2581
ND,ND,ND,-0.0985,-0.0558,0.2393
ND,ND,ND,0.1656,ND,0.3377
0.3051,-0.3606,0.516,0.1511,-0.1172,0.2475
0.2438,ND,0.5399,0.1402,ND,0.1489
ND,ND,ND,0.1304,-0.1177,0.2396
0.2823,-0.1912,0.9052,ND,ND,ND
-0.3694,-0.0182,ND,ND,ND,-0.107
ND,ND,ND,0.3239,ND,ND
ND,-0.1654,0.4878,ND,ND,ND
ND,-0.1679,ND,ND,ND,ND
-0.0513,-0.2204,ND,ND,ND,ND
0.483,0.1351,0.4145,0.3275,0.23,ND
ND,ND,0.2273,0.3331,0.274,ND
ND,-0.0202,-0.1751,ND,0.2139,ND
ND,ND,ND,0.3696,-0.1288,0.1964
-0.0895,ND,-0.1306,-0.0865,0.2471,-0.6027
ND,ND,ND,ND,-0.0742,0.3419
0.0283,0.0902,0.1442,0.0285,0.1342,-0.0117
0.1463,0.1554,0.0096,-0.0143,0.2352,0.0596
ND,ND,0.1511,-0.252,0.1225,ND
ND,ND,ND,0.1183,0.1453,0.1159
0.0897,0.1781,0.1349,0.0749,0.1451,-0.0938
-0.0223,0.2319,-0.0904,-0.0334,ND,ND
ND,ND,ND,0.3263,ND,ND
ND,ND,ND,0.0944,ND,0.0116
0.1238,-0.0465,0.2123,0.0326,0.0194,0.1693
ND,ND,-0.3411,ND,ND,ND
0.1473,-0.0161,0.1725,0.0586,-0.0109,0.1191
0.1412,0.0969,0.1547,0.1524,-0.1707,0.2042
ND,ND,ND,0.2055,0.0516,0.2774
0.0147,0.1012,-0.002,-0.0734,ND,ND
0.0826,ND,ND,ND,ND,ND
0.3625,0.0409,0.1603,ND,0.0752,0.0797
0.406,-0.01,0.3256,0.1851,ND,ND
ND,ND,0.3882,0.3667,-0.0208,0.2723
0.1583,ND,ND,0.0605,0.0222,0.0206
ND,ND,ND,ND,ND,0.4004
ND,ND,ND,0.0344,ND,0.0933
ND,ND,ND,ND,ND,0.0561
0.3908,0.0508,0.1618,-0.2195,0.7724,-1.4293
ND,0.0189,ND,ND,ND,ND
0.2509,ND,0.28,ND,ND,ND
ND,ND,ND,ND,0.0911,ND
1.1006,-0.1696,0.7663,ND,ND,ND
0.2116,-0.1741,ND,ND,ND,ND
-0.1611,0.1832,-0.1425,ND,ND,ND
-0.0167,0.0489,-0.0514,ND,ND,ND
ND,ND,ND,0.1357,0.1115,ND
ND,ND,ND,0.2554,ND,ND
-0.0994,0.2443,-0.3182,ND,ND,ND
-0.074,ND,0.181,ND,ND,ND
ND,ND,ND,0.0797,0.1495,0.1603
ND,ND,ND,ND,ND,-0.0033
ND,ND,ND,0.0099,0.0916,ND
-0.0317,-0.0455,-0.0472,0.0054,0.1489,-0.1449
ND,ND,ND,ND,0.2218,ND
ND,ND,ND,ND,ND,ND
0.1992,0.2556,-0.0404,0.0727,0.2383,-0.2019
ND,ND,ND,0.0607,0.1257,-0.2545
-0.0539,0.1998,-0.1503,ND,ND,ND
0.1704,0.0826,-0.0201,ND,0.0864,ND
-0.1906,ND,ND,ND,ND,ND
0.1021,0.0455,0.0233,0.0261,0.1188,0.0264
ND,ND,ND,ND,-0.1565,ND
0.044,ND,0.0397,0.0733,ND,0.0431
0.2434,ND,ND,0.3028,ND,0.3554
ND,ND,0.2667,ND,ND,ND
ND,ND,ND,ND,ND,-0.1043
ND,ND,ND,0.1383,ND,0.2229
ND,ND,ND,ND,0.1252,-0.003
ND,ND,ND,-0.1003,ND,-0.0506
0.2469,ND,0.3153,0.0489,-0.0027,0.1841
0.0491,0.1803,ND,-0.1267,0.1923,ND
-0.0266,0.048,-0.0093,ND,ND,ND
-0.0776,ND,ND,ND,ND,ND
-0.042,0.5506,ND,ND,ND,ND
ND,ND,ND,-0.1807,ND,ND
ND,0.0223,-0.0888,-0.0989,ND,-0.1355
ND,0.2752,0.3981,ND,ND,ND
ND,0.3492,-0.2195,ND,ND,ND
ND,0.4258,-0.2566,ND,ND,ND
-0.1152,-0.1722,ND,ND,ND,ND
0.099,0.0712,0.0494,-0.032,0.1912,ND
ND,ND,ND,ND,0.2781,-0.3194
ND,ND,ND,0.1485,0.0616,0.1664
ND,ND,ND,0.2152,0.0994,ND
0.3082,0.0986,0.2076,0.1573,0.1527,0.1202
0.2871,0.0544,-0.1381,ND,0.0167,ND
ND,-0.0321,0.1957,ND,0.1189,ND
ND,ND,ND,0.1453,ND,ND
-0.2716,ND,ND,ND,ND,ND
0.0942,0.4105,0.0181,-0.0241,0.1705,ND
-0.0132,0.0638,-0.0208,ND,ND,ND
ND,ND,ND,ND,0.0704,ND
-0.1281,0.1346,-0.1535,ND,ND,ND
-0.1307,0.2313,-0.1548,ND,ND,ND
0.1247,-0.0859,0.0991,0.0268,ND,0.2244
0.015,0.1764,-0.1519,0.0456,ND,-0.2274
-0.0753,0.3239,-0.1754,-0.1776,0.2945,-0.1513
ND,0.1785,0.221,ND,ND,ND
ND,-0.3744,ND,ND,ND,ND
0.023,0.3037,ND,-0.231,0.381,ND
ND,0.3003,0.2213,ND,ND,ND
ND,ND,0.2956,ND,ND,ND
0.2459,ND,0.0729,ND,ND,ND
ND,ND,ND,ND,0.119,ND
0.3552,0.2205,0.4059,0.1456,0.0755,0.2668
0.2107,0.0835,0.1774,ND,ND,ND
ND,ND,ND,ND,0.2289,ND
ND,ND,ND,ND,ND,0.1258
-0.1073,0.1728,ND,ND,ND,ND
ND,ND,ND,0.0516,0.0377,0.1387
ND,-0.1212,0.1411,0.2019,ND,0.1135
ND,ND,ND,ND,ND,-0.3128
0.5709,0.0752,0.5672,0.1722,0.2247,0.1201
0.0104,0.1629,0.0487,-0.2018,ND,-0.0129
-0.0079,-0.1726,0.3021,ND,ND,ND
ND,ND,ND,-0.1249,-0.0002,ND
ND,ND,ND,0.0905,-0.1244,0.0015
-0.036,ND,ND,ND,0.2364,ND
ND,ND,ND,-0.1585,0.1695,-0.0256
ND,ND,ND,-0.0773,0.2374,0.0045
ND,ND,ND,-0.0719,0.2053,-0.1975
-0.0157,-0.0608,0.0497,-0.0066,0.1534,-0.0046
ND,ND,ND,ND,0.4433,ND
-0.0701,-0.2015,-0.0394,-0.3502,0.3555,0.1552
-0.0935,ND,-0.0075,-0.2602,0.164,-0.15
ND,0.1073,0.1408,ND,0.1631,-0.0047
ND,0.0325,0.193,ND,ND,ND
ND,ND,ND,ND,ND,0.0827
0.006,ND,ND,-0.0463,0.1142,-0.0214
ND,ND,ND,0.4147,ND,-0.015
ND,ND,ND,ND,-0.3447,ND
ND,ND,ND,-0.1494,0.0426,ND
ND,ND,ND,ND,ND,0.0875
ND,ND,ND,ND,ND,0.2465
ND,ND,ND,ND,ND,-0.1154
ND,-0.0895,0.1719,0.0159,0.2517,0.1226
ND,ND,ND,0.0584,1.2454,0.0893
ND,ND,0.616,ND,ND,ND
ND,ND,ND,ND,0.0682,-0.0217
0.0431,0.1482,ND,-0.0856,0.1995,-0.0133
ND,0.1395,0.2221,ND,ND,ND
0.2479,ND,0.5671,ND,ND,ND
0.0191,0.0928,ND,ND,0.1307,0.1263
-0.0458,0.0105,-0.0621,-0.1495,0.231,-0.061
0.5628,-0.2146,ND,-0.1076,ND,ND
ND,ND,ND,-0.0012,-0.6961,-0.0309
ND,ND,0.0874,ND,ND,ND
-0.124,0.1071,0.4926,ND,ND,0.0171
ND,ND,ND,-0.0108,ND,0.0246
0.3887,ND,0.3449,ND,ND,ND
